"","1","2","3","4","5"
"ID",0,1,2,3,4
"PUBID",1,2,3,4,5
"REGION",2,3,1,3,3
"CENDIV",4,5,1,7,7
"PBA",26,23,15,18,2
"FREESTN",1,1,1,1,1
"SQFT",2400,114000,2550,5e+05,30000
"SQFTC",2,7,2,8,5
"WLCNS",4,3,4,6,3
"RFCNS",2,6,4,1,6
"RFCOOL",2,1,2,2,2
"RFTILT",2,1,2,1,1
"BLDSHP",2,6,2,9,1
"GLSSPC",1,2,4,5,2
"EQGLSS",2,2,1,1,2
"SUNGLS",1,2,NA,NA,1
"NFLOOR",1,1,1,994,2
"BASEMNT",NA,NA,NA,1,0
"FLCEILHT",8,12,12,8,14
"ATTIC",2,2,2,2,2
"ELEVTR",NA,NA,NA,1,1
"NELVTR",NA,NA,NA,9,1
"ESCLTR",NA,NA,NA,1,2
"NESLTR",NA,NA,NA,4,NA
"YRCON",1975,1985,1958,1983,1972
"YRCONC",5,6,3,6,5
"MONCON",NA,NA,NA,NA,NA
"RENOV",1,1,2,1,2
"RENADD",2,2,2,1,2
"RENRDC",2,2,2,2,2
"RENCOS",2,1,2,1,2
"RENINT",2,2,2,2,2
"RENRFF",1,1,2,2,2
"RENWLL",2,2,2,2,2
"RENWIN",2,2,2,2,2
"RENHVC",2,1,2,1,2
"RENLGT",2,2,2,2,2
"RENPLB",2,2,2,2,2
"RENELC",2,2,2,2,2
"RENINS",2,2,2,2,2
"RENSAF",2,2,2,1,2
"RENSTR",2,2,2,2,2
"RENOTH",2,2,2,2,2
"ONEACT",1,1,1,1,2
"ACT1",NA,NA,NA,NA,11
"ACT2",NA,NA,NA,NA,13
"ACT3",NA,NA,NA,NA,NA
"ACT1PCT",NA,NA,NA,NA,50
"ACT2PCT",NA,NA,NA,NA,50
"ACT3PCT",NA,NA,NA,NA,NA
"PBAPLUS",47,50,34,38,6
"DRYCL",NA,NA,NA,NA,NA
"VACANT",NA,NA,NA,NA,NA
"CUBE",NA,NA,NA,NA,2
"CUBEC",NA,NA,NA,NA,NA
"CUBELOC",NA,NA,NA,NA,NA
"RWSEAT",NA,NA,NA,NA,NA
"PBSEAT",NA,NA,NA,NA,NA
"EDSEAT",NA,NA,NA,NA,NA
"FDSEAT",NA,NA,0,NA,NA
"HCBED",NA,NA,NA,NA,NA
"NRSBED",NA,NA,NA,NA,NA
"LODGRM",NA,NA,NA,400,NA
"COURT",NA,NA,NA,NA,NA
"FACIL",2,2,1,1,1
"FEDFAC",NA,NA,2,2,2
"FACACT",NA,NA,15,9,8
"MANIND",NA,NA,NA,NA,NA
"PLANT",NA,NA,2,1,1
"FACDST",NA,NA,NA,2,2
"FACDHW",NA,NA,NA,1,1
"FACDCW",NA,NA,NA,1,1
"FACELC",NA,NA,NA,2,1
"BLDPLT",NA,NA,NA,2,2
"GOVOWN",1,2,2,2,2
"GOVTYP",3,NA,NA,NA,NA
"OWNTYPE",10,1,5,3,4
"NOCC",1,15,1,1,1
"NOCCAT",2,5,2,2,2
"OWNOCC",1,2,1,1,1
"OWNOPR",1,2,1,1,1
"OWNPPR",1,NA,1,1,1
"NWNPPR",NA,NA,NA,NA,NA
"NWNOPR",NA,2,NA,NA,NA
"WHOPPR",NA,2,NA,NA,NA
"MONUSE",12,12,3,12,12
"OCCUPYP",NA,42,NA,NA,100
"LODOCCP",NA,NA,NA,56,NA
"OPEN24",2,2,2,1,2
"OPNMF",2,1,1,1,1
"OPNWE",2,1,2,1,1
"WKHRS",16,72,40,168,65
"WKHRSC",2,5,3,7,5
"NWKER",2,52,10,165,19
"NWKERC",2,6,4,7,4
"HT1",1,1,2,1,1
"HT2",1,1,2,1,2
"COOL",1,1,2,1,1
"WATR",1,1,1,1,1
"COOK",2,1,1,1,2
"MANU",2,2,2,2,2
"CAPGEN",2,2,2,1,1
"GENR",2,2,2,1,1
"ANYEGY",NA,NA,NA,NA,NA
"ELUSED",1,1,1,1,1
"NGUSED",2,1,2,1,2
"FKUSED",1,2,2,1,1
"FKTYPE",1,NA,NA,9,2
"PRUSED",1,2,1,2,2
"STUSED",2,2,2,2,2
"HWUSED",2,2,2,1,1
"CWUSED",2,2,2,1,1
"WOUSED",2,2,2,2,2
"COUSED",2,2,2,2,2
"SOUSED",2,2,2,2,2
"OTUSED",2,2,2,2,2
"ELHT1",2,2,2,2,2
"NGHT1",NA,1,NA,2,NA
"FKHT1",2,NA,NA,2,2
"PRHT1",1,NA,2,NA,NA
"STHT1",NA,NA,NA,NA,NA
"HWHT1",NA,NA,NA,1,1
"WOHT1",NA,NA,NA,NA,NA
"COHT1",NA,NA,NA,NA,NA
"SOHT1",NA,NA,NA,NA,NA
"OTHT1",NA,NA,NA,NA,NA
"ELHT2",1,1,2,1,2
"NGHT2",NA,2,NA,2,NA
"FKHT2",2,NA,NA,2,2
"PRHT2",2,NA,2,NA,NA
"STHT2",NA,NA,NA,NA,NA
"HWHT2",NA,NA,NA,2,2
"WOHT2",NA,NA,NA,NA,NA
"COHT2",NA,NA,NA,NA,NA
"SOHT2",NA,NA,NA,NA,NA
"OTHT2",NA,NA,NA,NA,NA
"HEATP",100,100,NA,100,100
"HTLS50",NA,NA,NA,NA,NA
"FURNAC",2,2,NA,2,2
"PKGHT",2,1,NA,1,1
"BOILER",2,2,NA,2,2
"STHW",2,2,NA,1,1
"HTPMPH",2,2,NA,2,2
"SLFCON",1,2,NA,1,2
"OTHTEQ",2,2,NA,2,2
"FURNP",NA,NA,NA,NA,NA
"PKGHP",NA,100,NA,100,100
"BOILP",NA,NA,NA,NA,NA
"STHWP",NA,NA,NA,100,100
